,RENT_ID,RENT_NM_x,USE_CNT,MOVE_METER,평균이동거리,RENT_NM_y,LAT,LONG
247,409,409. 누리꿈스퀘어 옆,30716,71633253.14,2332.1152864956375,409. 누리꿈스퀘어 옆,37.57939911,126.88916016
248,410,410. 상암중학교 옆,3710,10614262.72,2860.9872560646904,410. 상암중학교 옆,37.57739258,126.88747406
249,411,411. DMC홍보관,20791,54582316.88,2625.2857909672457,411. DMC홍보관,37.5779953,126.89147186
250,412,412. DMC산학협력연구센터 앞,21224,52306878.12,2464.5155540897094,412. DMC산학협력연구센터 앞,37.57565689,126.89079285
251,413,413. 상암월드컵파크 3단지 후문,11779,29139245.92,2473.8301995075985,413. 상암월드컵파크 3단지 후문,37.57147598,126.88968658
252,414,414. 상암동주민센터 옆,29342,61951017.29,2111.342692727149,414. 상암동주민센터 옆,37.57822037,126.89447021
253,415,415. DMC역 9번출구 앞,42442,80396447.88,1894.266242872626,415. DMC역 9번출구 앞,37.57746887,126.89736176
254,416,416. 상암월드컵파크 1단지 교차로,10841,25678376.74,2368.6354340005532,416. 상암월드컵파크 1단지 교차로,37.57566452,126.89444733
255,417,417. DMC역 2번출구 옆,28783,73311424.75,2547.0390421429315,417. DMC역 2번출구 옆,37.57506943,126.8999176
256,418,418. 월드컵경기장역 3번출구 옆,34433,128029684.99,3718.226265210699,418. 월드컵경기장역 3번출구 옆,37.57048035,126.89889526
257,419,419. 홈플러스 마포점 앞,41604,120980906.5,2907.9152605518702,419. 홈플러스 마포점 앞,37.56842041,126.89942932
258,420,420. 서울시 공공자전거 상암센터,19251,78169567.12,4060.5457960625426,420. 서울시 공공자전거 상암센터,37.56624603,126.8961792
259,421,421. 마포구청 앞,30780,79726119.0,2590.1923001949317,421. 마포구청 앞,37.56574631,126.9018631
260,422,422. 문화비축기지,6212,18340379.63,2952.4114021249193,422. 문화비축기지,37.56897736,126.89440155
261,424,424. 롯데하이마트 (상암월드컵점) ,6358,18475747.56,2905.905561497326,424. 롯데하이마트 (상암월드컵점) ,37.57361984,126.8980484
262,425,425. DMC첨단산업센터,5541,10634046.63,1919.156583649161,425. DMC첨단산업센터,37.58450317,126.88559723
